Date,Open,High,Low,Close,Adj Close,Volume,Stock
1993-08-13 00:00:00-04:00,1.9299309456500442,1.9394383023149615,1.9014098644256592,1.9014098644256592,1.9014098644256592,16809165,BWA
1993-08-16 00:00:00-04:00,1.9109179702881223,1.9109179702881223,1.8443684308220611,1.8823962211608887,1.8823962211608887,3887846,BWA
1993-08-17 00:00:00-04:00,1.8633828045542733,1.882396371653549,1.8538752794265745,1.8538752794265747,1.8538752794265747,832461,BWA
1993-08-18 00:00:00-04:00,1.8538751312141009,1.9014104459205252,1.8538751312141009,1.8823962211608887,1.8823962211608887,1232333,BWA
1993-08-19 00:00:00-04:00,1.8728888030637174,1.9204241037368772,1.8633821054782238,1.9204241037368774,1.9204241037368774,946061,BWA
1993-08-20 00:00:00-04:00,1.920424359785225,1.9489454451147723,1.9109176609322123,1.9394385814666748,1.9394385814666748,527104,BWA
1993-08-23 00:00:00-04:00,1.9299307204408627,1.9299307204408627,1.9109171628952026,1.9109171628952026,1.9109171628952026,166310,BWA
1993-08-24 00:00:00-04:00,1.9204240833703103,1.9204240833703103,1.9014098644256592,1.9014098644256592,1.9014098644256592,402598,BWA
1993-08-25 00:00:00-04:00,1.9014098845905756,1.9204241037368772,1.9014098845905756,1.9204241037368774,1.9204241037368774,243558,BWA
1993-08-26 00:00:00-04:00,1.9204241037368772,1.9394383228831789,1.9204241037368772,1.9204241037368774,1.9204241037368774,326259,BWA
1993-08-27 00:00:00-04:00,1.920424359785225,1.9584528031481243,1.920424359785225,1.9394385814666748,1.9394385814666748,375334,BWA
1993-08-30 00:00:00-04:00,1.9489454451147723,1.9584528031481243,1.9299312234333226,1.9394385814666748,1.9394385814666748,137229,BWA
1993-08-31 00:00:00-04:00,1.9489452838897705,1.9489452838897705,1.9299310637812577,1.9489452838897705,1.9489452838897705,265370,BWA
1993-09-01 00:00:00-04:00,1.9299312234333226,1.9394385814666748,1.9299312234333226,1.9394385814666748,1.9394385814666748,223565,BWA
1993-09-02 00:00:00-04:00,1.9394383023149615,1.9394383023149615,1.9014098644256592,1.9014098644256592,1.9014098644256592,149952,BWA
1993-09-03 00:00:00-04:00,1.9014101233653335,1.9204243448993978,1.863382339477539,1.863382339477539,1.863382339477539,58163,BWA
