Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,24.45276641845703,29.09090805053711,29.09090805053711,29.09090805053711,29.09090805053711,38289394
2019-12-12,25.564252853393555,30.413223266601562,31.983470916748047,29.752065658569336,31.983470916748047,505692621
2019-12-15,25.981063842773438,30.909090042114258,30.991735458374023,30.413223266601562,30.661157608032227,98349281
2019-12-16,26.397872924804688,31.404958724975586,31.48760223388672,30.991735458374023,30.991735458374023,105973907
2019-12-17,26.224201202392578,31.198347091674805,31.5289249420166,30.991735458374023,31.446279525756836,142672245
2019-12-18,25.494787216186523,30.330577850341797,31.07438087463379,30.330577850341797,30.991735458374023,83822621
2019-12-19,24.661169052124023,29.338842391967773,30.37190055847168,29.338842391967773,30.330577850341797,108120197
2019-12-22,24.522232055664062,29.173553466796875,29.504131317138672,28.842975616455078,29.42148780822754,39709972
2019-12-23,24.730640411376953,29.42148780822754,29.46280860900879,29.132230758666992,29.173553466796875,35098090
2019-12-24,24.59170150756836,29.25619888305664,29.504131317138672,29.173553466796875,29.46280860900879,22184338
2019-12-25,24.45276641845703,29.09090805053711,29.25619888305664,29.008264541625977,29.25619888305664,13572736
2019-12-26,24.55696678161621,29.214876174926758,29.214876174926758,28.966941833496094,29.049585342407227,13863242
2019-12-29,24.59170150756836,29.25619888305664,29.504131317138672,29.173553466796875,29.173553466796875,22966690
2019-12-30,24.418031692504883,29.049585342407227,29.29751968383789,29.049585342407227,29.25619888305664,13147121
2019-12-31,24.487499237060547,29.132230758666992,29.132230758666992,28.966941833496094,29.049585342407227,16332772
2020-01-01,24.38330078125,29.008264541625977,29.132230758666992,28.966941833496094,29.132230758666992,8517342
2020-01-02,24.418031692504883,29.049585342407227,29.132230758666992,28.966941833496094,29.008264541625977,11430744
2020-01-05,24.001220703125,28.55371856689453,28.92561912536621,28.51239585876465,28.92561912536621,25239125
2020-01-06,23.966487884521484,28.51239585876465,28.55371856689453,28.14049530029297,28.51239585876465,23401835
2020-01-07,23.862287521362305,28.388429641723633,28.55371856689453,28.223140716552734,28.471073150634766,13923075
2020-01-08,23.75808334350586,28.264461517333984,28.264461517333984,28.099172592163086,28.099172592163086,22150479
2020-01-09,24.313833236694336,28.92561912536621,28.966941833496094,28.34710693359375,28.388429641723633,31310879
2020-01-12,24.17489242553711,28.760330200195312,29.049585342407227,28.55371856689453,28.92561912536621,24584632
2020-01-13,24.14015769958496,28.71900749206543,28.92561912536621,28.677684783935547,28.760330200195312,16978173
2020-01-14,24.209630966186523,28.801652908325195,28.801652908325195,28.429752349853516,28.71900749206543,12477898
